id,timestamp,author_id,author_name,author_display_name,content,attachments,reactions,reply_to,type
1422030240867287192,2025-09-29 01:20:29,936984741423484958,gami62626,がみ,"<@1415919627732521044> さん
こちらで勤怠報告",,,,0
1422030826345857064,2025-09-29 01:22:49,1415919627732521044,kskyamamoto,もっさん,"予定業務　出社
・研修
10:00 始めます",,,,0
1422097509446058016,2025-09-29 05:47:47,1415919627732521044,kskyamamoto,もっさん,"【休憩開始】13:43
【休憩終了】14:47",,,,0
1422151997183885344,2025-09-29 09:24:18,1415919627732521044,kskyamamoto,もっさん,"実施業務　出社
・研修：（7h）
18:23 終了",,,,0
1422403615343251517,2025-09-30 02:04:08,1415919627732521044,kskyamamoto,もっさん,"予定業務　出社
・AI研修(3h) 
その後は指示を仰ぎます
11:03 始めます",,,,0
1422458687582240799,2025-09-30 05:42:59,1415919627732521044,kskyamamoto,もっさん,"【休憩開始】14:42
【休憩終了】15:14",,,,0
1422509522978738196,2025-09-30 09:04:59,1415919627732521044,kskyamamoto,もっさん,"実施業務　出社
・研修：（5.5h）
・全体会議：(1h)
18:04 終了",,,,0
1422767092653883393,2025-10-01 02:08:28,1415919627732521044,kskyamamoto,もっさん,"予定業務　出社
・UTAGE、LINE関係（初業務のため時間未定）
その後は指示を仰ぎます、なければ研修を進めます
11:08 始めます",,,,0
1422818015824842774,2025-10-01 05:30:49,1415919627732521044,kskyamamoto,もっさん,"【休憩開始】14:30
【休憩終了】14:56",,,,0
1422873452552917075,2025-10-01 09:11:06,1415919627732521044,kskyamamoto,もっさん,"実施業務　出社
・UTAGE LINEアカウント連携登録・調査・テスト：(2h)
・研修：（4.5h）
18:10 終了",,,,0
1423490102356738058,2025-10-03 02:01:27,1415919627732521044,kskyamamoto,もっさん,"予定業務　出社
・研修
11:01 始めます",,,,0
1423551806998315028,2025-10-03 06:06:39,1415919627732521044,kskyamamoto,もっさん,"【休憩開始】15:06
【休憩終了】15:24",,,,0
1423590566205194242,2025-10-03 08:40:40,1024160782029692938,tajimaru_online,たじ,"<@1415919627732521044> さん
お疲れ様です！
勤怠フォルダを共有します。

もっさん
https://drive.google.com/drive/folders/1fb0Bde_xGS6d3w0c_UVIkXSjL1vuLMde?usp=sharing

＜請求書提出の5ステップ＞
①毎月3日までに勤怠の修正を完了させてください。 
②ジョブカンシートは毎月5日までに管理で格納後にご連絡します。 
③個人フォルダの「勤務時間一覧」ファイルにて業務委託料をご確認ください。
④請求書の「単価」欄に金額を入力、交通費を明記、合算して請求書を作成願います。 
⑤作成した請求書と領収書（ある場合）をPDF ファイルにして
billing@unionai.co.jp に毎月5日までに送付お願いします。",,,,0
1423593176719036447,2025-10-03 08:51:02,1415919627732521044,kskyamamoto,もっさん,"<@1024160782029692938> さん
ありがとうございます。

たじさんに聞くべき内容かわからず恐縮ですが、

>④請求書の「単価」欄に金額を入力、交通費を明記、合算して請求書を作成願います。 

こちらの　請求書　の指定フォーマットはありますでしょうか？",,,@tajimaru_online,19
1423593536892305489,2025-10-03 08:52:28,1024160782029692938,tajimaru_online,たじ,"ご質問ありがとうございます！
これから三井さんよりアナウンスがあると思いますので
お待ちいただければと思います！
あ💡アイコン変わってますね👏",,,@kskyamamoto,19
1423594110710976612,2025-10-03 08:54:45,1415919627732521044,kskyamamoto,もっさん,"早速、ありがとうございます！　承知しました。

ニックネームとアイコン、悩ましいです・・・
やまもとさんは他にもいらっしゃいますし。

今後ともよろしくお願いいたします🙏",,"🤣(1), 17(1), yoroshikuonegaisimasu(1)",@tajimaru_online,19
1423606876972646503,2025-10-03 09:45:28,1415919627732521044,kskyamamoto,もっさん,"実施業務　出社
・研修：（3h）
・担当業務について打合せ：(1h)
・法人用LINE公式調整：(0.5h)
・わどAIスクール内容把握：（2.5h）
18:41 終了",,,,0
1425301804492652617,2025-10-08 02:00:31,1415919627732521044,kskyamamoto,もっさん,"予定業務　出社
・AIスクール受講、調査、行動計画(7h)
11:00 始めます",,,,0
1425330185569308743,2025-10-08 03:53:17,1415919627732521044,kskyamamoto,もっさん,"【休憩開始】12:53
【休憩終了】13:24",,,,0
1425433970216271993,2025-10-08 10:45:41,1415919627732521044,kskyamamoto,もっさん,"実施業務　出社
・AIスクール受講、調査(5h)
・AIツールロゴ収集、Canva上に名称と配置：(3h)
19:45 終了",,,,0
1425664286109335656,2025-10-09 02:00:53,1415919627732521044,kskyamamoto,もっさん,"予定業務　出社
・AIスクール受講、調査、行動計画(2h)
・法人研修のデモ(6H)
11:00 始めます",,,,0
1425768972829196328,2025-10-09 08:56:52,1415919627732521044,kskyamamoto,もっさん,"【休憩開始】12:46
【休憩終了】12:54

実施業務　出社
・AIスクール受講、調査、行動計画(2h)
・法人研修のデモ(5H)
17:56 終了",,,,0
1426027680222023793,2025-10-10 02:04:53,1415919627732521044,kskyamamoto,もっさん,"予定業務　出社
・AIスクール調査まとめ(1h)
・法人研修のデモ(6H)
11:04 始めます",,,,0
1426132820190953573,2025-10-10 09:02:40,1415919627732521044,kskyamamoto,もっさん,"実施業務　出社
・AIスクール調査まとめ(1h)
・法人研修のデモ(6H)
18:01 終了",,,,0
1427474457349587104,2025-10-14 01:53:51,1415919627732521044,kskyamamoto,もっさん,"予定業務　出社
・法人LINE公式アカウント対応(1h)
・全体会議、スクール運営会議(2h)
・法人向けタスク対応(3h)
・AIスクール調査まとめ(1h)
10:50始めます",,,,0
1427515341419843647,2025-10-14 04:36:19,1415919627732521044,kskyamamoto,もっさん,"【休憩開始】13:35
【休憩終了】13:48",,,,0
1427588977631957083,2025-10-14 09:28:55,1415919627732521044,kskyamamoto,もっさん,"【休憩開始】18:28
【休憩終了】18:54",,,,0
1427611372765708319,2025-10-14 10:57:55,1415919627732521044,kskyamamoto,もっさん,"実施業務　出社
・法人LINEメッセージ設定対応(1h)
・全体会議(1h)
・スクール運営会議(1h)
・効率化会議(1h)
・全体会議 議事録(1h)
・スクール事務対応、レクチャー(1.5h)
・法人UTAGE申込みフォーム作成、シナリオ設定(1.5h)
19:56 終了",,,,0
1427838949002317856,2025-10-15 02:02:13,1415919627732521044,kskyamamoto,もっさん,"予定業務　出社
・法人UTAGE申込みページ作成、シナリオ設定(2h)
・法人セミナーアンケート作成(1h)
・法人研修改善打合せ(1h)
・人事面談(0.5h)
・スクール素材、ナレッジ集め(残り時間)
11:01始めます",,,,0
1427869375448219739,2025-10-15 04:03:07,1415919627732521044,kskyamamoto,もっさん,"【休憩開始】13:03
【休憩終了】13:15",,,,0
1427892146798854275,2025-10-15 05:33:36,1415919627732521044,kskyamamoto,もっさん,"実施業務　出社
・法人UTAGE申込みページ作成、シナリオ設定(4h)
・WEB素材集め(0.5H)
・人事面談 (1h)
・法人研修改善打合せ(2.5h)
19:20 終了",,,,0
